stars_credit,stars_field,gri_standard,gri_disclosure,relationship,confidence,review_status,rationale,caveat,claude_verdict,claude_note,reviewed_by,reviewed_date
OP-6,Scope 3 GHG emissions from business travel,GRI 305,305-3,component,high,confirmed,A GHG Protocol scope 3 category; GRI 305-3 requires the categories included to be listed.,,agree,"A GHG Protocol scope 3 category. GRI 305-3-d requires the categories included to be listed, so keep the category name.",claude,2026-08-18
OP-6,Scope 3 GHG emissions from commuting,GRI 305,305-3,component,high,confirmed,A GHG Protocol scope 3 category; GRI 305-3 requires the categories included to be listed.,,agree,"A GHG Protocol scope 3 category. GRI 305-3-d requires the categories included to be listed, so keep the category name.",claude,2026-08-18
OP-6,Scope 3 GHG emissions from purchased goods and services,GRI 305,305-3,component,high,confirmed,A GHG Protocol scope 3 category; GRI 305-3 requires the categories included to be listed.,,agree,"A GHG Protocol scope 3 category. GRI 305-3-d requires the categories included to be listed, so keep the category name.",claude,2026-08-18
OP-6,Scope 3 GHG emissions from capital goods,GRI 305,305-3,component,high,confirmed,A GHG Protocol scope 3 category; GRI 305-3 requires the categories included to be listed.,,agree,"A GHG Protocol scope 3 category. GRI 305-3-d requires the categories included to be listed, so keep the category name.",claude,2026-08-18
OP-6,Scope 3 GHG emissions from waste generated in operations,GRI 305,305-3,component,high,confirmed,A GHG Protocol scope 3 category; GRI 305-3 requires the categories included to be listed.,,agree,"A GHG Protocol scope 3 category. GRI 305-3-d requires the categories included to be listed, so keep the category name.",claude,2026-08-18
OP-6,Scope 3 GHG emissions from fuel- and energy-related activities not included in scope 1 or scope 2,GRI 305,305-3,component,high,confirmed,A GHG Protocol scope 3 category; GRI 305-3 requires the categories included to be listed.,,agree,"A GHG Protocol scope 3 category. GRI 305-3-d requires the categories included to be listed, so keep the category name.",claude,2026-08-18
OP-6,Annual scope 1 and 2 GHG emissions per person,GRI 305,305-4,intensity,high,confirmed,GRI 305-4 is a ratio of absolute emissions to an organization-specific denominator.,"GRI 305-4 requires the denominator to be stated. Here it is FTE students + employees, not a corporate revenue or output metric.",agree,GRI 305-4-b requires the denominator to be stated; it is FTE students+employees / gross floor area. Verified present.,claude,2026-08-18
OP-6,Annual scope 1 and 2 GHG emissions per unit of floor area,GRI 305,305-4,intensity,high,confirmed,GRI 305-4 is a ratio of absolute emissions to an organization-specific denominator.,Denominator is gross floor area in square meters; must be disclosed alongside the ratio.,agree,GRI 305-4-b requires the denominator to be stated; it is FTE students+employees / gross floor area. Verified present.,claude,2026-08-18
OP-6,Percentage reduction in scope 1 and 2 GHG emissions from baseline,GRI 305,305-5,partial,medium,confirmed,Both concern reduction against a baseline.,GRI 305-5 asks for reductions as an ABSOLUTE quantity in metric tons CO2e; STARS gives a percentage. Not directly substitutable - derive the absolute figure from the baseline and current fields.,agree,Correct as partial. GRI 305-5-a wants an ABSOLUTE reduction in t CO2e; STARS gives a bare percentage with no units. Derivable: 'Baseline scope 1 and 2 GHG emissions' minus 'Adjusted net scope 1 and 2 GHG emissions' are both in the dataset. Compute it rather than printing the percentage.,claude,2026-08-18
OP-5,Total annual energy consumption,GRI 302,302-1,equivalent,high,confirmed,STARS total annual energy consumption corresponds to GRI 302-1 energy consumption within the organization.,"GRI 302-1 expects joules or multiples and requires fuel consumption split into renewable and non-renewable. STARS reports megawatt-hours - convertible, but state the conversion.",agree,"Correct. GRI 302-1-e is total energy consumption. Unit conversion MWh->joules is arithmetic, not a mapping problem.",claude,2026-08-18
OP-5,Total electricity consumption,GRI 302,302-1,component,high,confirmed,Electricity consumption is an explicit component of GRI 302-1.,,agree,GRI 302-1-c names electricity and fuel consumption explicitly. Direct match.,claude,2026-08-18
OP-5,Total stationary fuel consumption,GRI 302,302-1,component,high,confirmed,Fuel consumption is an explicit component of GRI 302-1.,,agree,GRI 302-1-c names electricity and fuel consumption explicitly. Direct match.,claude,2026-08-18
OP-5,Annual renewable energy consumption,GRI 302,302-1,partial,low,confirmed,GRI 302-1 requires the renewable/non-renewable split; this field supplies the renewable side.,"SCOPE MISMATCH. GRI 302-1-b is 'Total fuel consumption from renewable sources'. This STARS field also includes renewable ELECTRICITY (Berkeley 18,173 MWh), so it is broader than GRI's line and would overstate renewable fuel. The precise match is 'Renewable stationary fuels' - see the row below, which is ~0 for all three. Use this field only for a general renewables statement, never for GRI 302-1-b.",amend,"WRONG LEVEL. GRI 302-1-b is 'Total FUEL consumption from renewable sources'. The STARS field 'Annual renewable energy consumption' also includes renewable ELECTRICITY (Berkeley 18,173 MWh), so it is broader than GRI's line and would overstate renewable fuel. STARS has 'Renewable stationary fuels', which is the precise match — repoint to that, or downgrade this row to partial.",claude,2026-08-18
OP-5,Annual energy consumption per person,GRI 302,302-3,intensity,high,confirmed,GRI 302-3 is an energy intensity ratio against an organization-specific denominator.,Denominator (FTE students + employees) must be disclosed with the ratio.,agree,GRI 302-3-b requires the denominator; present in the data.,claude,2026-08-18
OP-5,Annual energy consumption per unit of floor area,GRI 302,302-3,intensity,high,confirmed,GRI 302-3 is an energy intensity ratio against an organization-specific denominator.,Denominator is gross floor area; must be disclosed with the ratio.,agree,GRI 302-3-b requires the denominator; present in the data.,claude,2026-08-18
OP-3,Total water withdrawal,GRI 303,303-3,equivalent,high,confirmed,STARS total water withdrawal matches the GRI 303-3 concept of total water withdrawal.,"GRI 303-3 requires a breakdown by source AND a separate figure for areas with water stress. STARS collects neither, so 303-3 cannot be fully satisfied from STARS alone. UNITS: GRI 303-3 requires megaliters and STARS reports cubic meters. Divide by 1,000 before citing the figure as a GRI 303-3 value, and state the conversion — the same treatment GRI 302-1 gets for megawatt-hours against joules.",amend,Unit caveat added 2026-08-22 after an external review noted that all three 303-3 rows were silent on megaliters vs cubic meters while the analogous 302-1 mismatch was flagged.,claude,2026-08-20
OP-3,Potable water from off-site sources,GRI 303,303-3,component,high,confirmed,Third-party water is a GRI 303-3 withdrawal source category.,"Maps to the specific GRI 303-3-a-v category 'Third-party water'. It is the ONLY withdrawal source these universities have — on-site abstraction is zero for all three — so this equals the total. UNITS: GRI 303-3 requires megaliters and STARS reports cubic meters. Divide by 1,000 before citing the figure as a GRI 303-3 value, and state the conversion — the same treatment GRI 302-1 gets for megawatt-hours against joules.",amend,Unit caveat added 2026-08-22; see the total-withdrawal row.,claude,2026-08-20
OP-3,Potable water from on-site sources,GRI 303,303-3,component,high,confirmed,On-site abstraction is a GRI 303-3 withdrawal source category.,"Zero for all three institutions, which is itself the finding: none of them abstracts its own water. Retained so the GRI 303-3 source breakdown is complete rather than silent. UNITS: GRI 303-3 requires megaliters and STARS reports cubic meters. Divide by 1,000 before citing the figure as a GRI 303-3 value, and state the conversion — the same treatment GRI 302-1 gets for megawatt-hours against joules.",amend,"Had no caveat at all before 2026-08-22. Unit conversion added, plus a note that the zero is meaningful rather than missing.",claude,2026-08-20
OP-3,Annual potable water use,GRI 303,303-5,partial,low,rejected,Both describe water consumed by the organization.,DEFINITIONS DIFFER. GRI 303-5 water consumption = withdrawal minus discharge. STARS 'annual potable water use' is potable supply only and is not computed that way. Do not present this as GRI 303-5 without recomputing.,reject,"REJECT. 'Annual potable water use' is byte-identical to 'Total water withdrawal' for all three universities (TUD 56,570 / Cork 54,153 / Berkeley 2,092,006) — it IS withdrawal, already mapped at line 27. GRI 303-5 defines consumption as withdrawal MINUS discharge. Berkeley returns 107,386 m3, so its true 303-5 figure is 1,984,620, not 2,092,006. Publishing this mapping overstates Berkeley's water consumption by 5.4%. 303-5 must be DERIVED, not mapped to this field.",claude,2026-08-18
OP-3,Annual volume of water recovered and/or returned,GRI 303,303-4,partial,low,rejected,Water returned to the environment is conceptually adjacent to GRI 303-4 water discharge.,"GRI 303-4 requires discharge by destination, freshwater/other water split, and treatment level. STARS captures none of that. Weak mapping - verify before use.",reject,"REJECT as a 303-4 mapping. 'Recovered and/or returned' is not GRI's 'water discharge': recovered water may be reused on site and never discharged at all. GRI 303-4 also requires destination, freshwater/other split and treatment level, none of which STARS collects. Keep the FIELD though — it is the subtrahend needed to derive 303-5 (see line 30).",claude,2026-08-18
OP-12,Annual non-hazardous waste generated,GRI 306,306-3,partial,medium,confirmed,"STARS annual waste generated corresponds to GRI 306-3 waste generated, in metric tons.","NOT EQUIVALENT - a subset. GRI 306-3-a is TOTAL waste generated including hazardous, broken down by composition. STARS reports non-hazardous only and collects no hazardous tonnage at any credit, so 306-3 cannot be fully satisfied. Do not present non-hazardous waste as the organisation's total waste. (Contrast the 306-4 and 306-5 rows, which are `component`: GRI has explicit non-hazardous lines at 306-4-c and 306-5-c for the STARS figures to answer, whereas 306-3 has no non-hazardous sub-requirement at all — which is why this row is weaker than those two, not equal to them.)",amend,Corrected 2026-08-23. The sentence still said 306-4 and 306-5 'ARE equivalent' after commit 5070f0b downgraded both to `component`. Found by the second external review; it had been shipping in all three content indexes.,claude,2026-08-23
OP-12,Annual construction and demolition waste generated,GRI 306,306-3,component,high,confirmed,C&D waste is part of total waste generated under GRI 306-3.,,agree,C&D waste is part of total waste generated under GRI 306-3.,claude,2026-08-18
OP-12,Total non-hazardous waste diverted from disposal,GRI 306,306-4,component,high,confirmed,"GRI 306-4-c is literally 'Total weight of non-hazardous waste diverted from disposal'. STARS supplies that figure and all three of the recovery operations GRI names for it, so one required part of 306-4 is answered exactly.","Exact scope match on GRI 306-4-c, including its split by recovery operation (reuse / recycling / other) from the rows below. GRI 306-4-d additionally wants each operation split on-site vs off-site, which STARS does not collect. NOT THE WHOLE DISCLOSURE: the hazardous half is absent. STARS weighs no hazardous waste anywhere — OP-11 records only whether a hazardous-waste programme exists and describes it in prose. For a research university that is a materially significant stream going unreported, and it is a finding about STARS rather than about these institutions.",amend,"Downgraded equivalent -> component 2026-08-22. `equivalent` means 'answers the disclosure as written' and 306-4 is not answered while 306-4-b is empty. `partial` would have been wrong in the other direction — 306-4-c is satisfied exactly. `component` is the defined word for a required part. 306-3 stays `partial` because GRI 306-3 has no non-hazardous sub-requirement to satisfy, which is what makes the two labels different rather than inconsistent.",claude,2026-08-20
OP-12,Non-hazardous waste recycled,GRI 306,306-4,component,high,confirmed,Recycling is a named GRI 306-4 recovery operation.,,agree,Named GRI 306-4 recovery operations (preparation for reuse / recycling / other recovery).,claude,2026-08-18
OP-12,Non-hazardous waste composted,GRI 306,306-4,component,high,confirmed,Composting falls under GRI 306-4 other recovery operations.,,agree,Named GRI 306-4 recovery operations (preparation for reuse / recycling / other recovery).,claude,2026-08-18
OP-12,Non-hazardous waste prepared for reuse,GRI 306,306-4,component,high,confirmed,Preparation for reuse is a named GRI 306-4 recovery operation.,,agree,Named GRI 306-4 recovery operations (preparation for reuse / recycling / other recovery).,claude,2026-08-18
OP-12,Total construction and demolition waste diverted from disposal,GRI 306,306-4,component,high,confirmed,C&D diversion contributes to GRI 306-4 waste diverted from disposal.,,agree,C&D diversion contributes to GRI 306-4.,claude,2026-08-18
OP-12,Construction and demolition waste recycled,GRI 306,306-4,component,high,confirmed,Recycling is a named GRI 306-4 recovery operation.,,agree,C&D diversion contributes to GRI 306-4.,claude,2026-08-18
OP-12,Non-hazardous waste disposed of to a landfill or incinerator,GRI 306,306-5,component,medium,confirmed,"GRI 306-5-c is the total weight of non-hazardous waste directed to disposal. STARS supplies that total, so one required part of 306-5 is answered.","WEAKER THAN THE 306-4 EQUIVALENT: GRI 306-5-c also requires the total split across four disposal operations — incineration with energy recovery, incineration without, landfilling, other — and STARS merges landfill and incineration into a single figure. The waste-to-energy percentage field would separate incineration with recovery, but only two of the three institutions report it, so the split cannot be derived consistently. NOT THE WHOLE DISCLOSURE: the hazardous half is absent. STARS weighs no hazardous waste anywhere — OP-11 records only whether a hazardous-waste programme exists and describes it in prose. For a research university that is a materially significant stream going unreported, and it is a finding about STARS rather than about these institutions.",amend,"Downgraded equivalent -> component 2026-08-22, same reasoning as 306-4. Weaker than that row: 306-4-c's recovery-operation split IS available from STARS, 306-5-c's disposal-operation split is not.",claude,2026-08-20
OP-12,Construction and demolition waste disposed of to a landfill or incinerator,GRI 306,306-5,component,high,confirmed,C&D disposal contributes to GRI 306-5 waste directed to disposal.,,agree,C&D disposal contributes to GRI 306-5.,claude,2026-08-18
PA-13,Percentage of employees that receive remuneration equivalent to at least a living wage,GRI 202,202-1,partial,low,confirmed,Both concern wage floors relative to an external benchmark.,"DOES NOT SATISFY GRI 202-1. GRI wants the RATIO of standard entry-level wage to the local MINIMUM wage, BY GENDER. STARS measures coverage against a LIVING wage with no gender split. The GRI ratio cannot be derived from STARS at all. Report only as a higher-education sector variant, stating plainly that 202-1 is unsatisfied. Values are bare numbers with no currency - EUR for the Irish universities, USD for Berkeley - and are not comparable across them without saying so.",amend,"HARDEN. GRI 202-1 wants the RATIO of entry-level wage to local minimum wage, by gender. STARS gives the percentage of employees at or above a LIVING wage, with no gender split and a different benchmark. The GRI ratio cannot be derived from STARS at all. Keep as partial only if the report states plainly that 202-1 is NOT satisfied and this is a sector-specific substitute.",claude,2026-08-18
PA-13,Living wage,GRI 202,202-1,partial,low,confirmed,The living-wage threshold underpinning the STARS pay-floor indicators.,"DOES NOT SATISFY GRI 202-1. GRI wants the RATIO of standard entry-level wage to the local MINIMUM wage, BY GENDER. STARS measures coverage against a LIVING wage with no gender split. The GRI ratio cannot be derived from STARS at all. Report only as a higher-education sector variant, stating plainly that 202-1 is unsatisfied. Values are bare numbers with no currency - EUR for the Irish universities, USD for Berkeley - and are not comparable across them without saying so.",amend,"Same as line 42. Note the values are bare numbers with no currency (13.85 / 15.40 / 39.62) — EUR for the Irish universities, USD for Berkeley, and not comparable across them without saying so.",claude,2026-08-18
PA-7,Ethnic diversity index for executive staff,GRI 405,405-1,partial,medium,confirmed,GRI 405-1-b-iii asks for other indicators of diversity per employee category. STARS supplies an ethnic diversity index for executive staff.,"This is a diversity INDEX (a single 0-1 concentration score), not the percentage breakdown GRI 405-1-b asks for. It shows how mixed the group is, not what share each group holds. No STARS credit collects employee age at all, so GRI 405-1's age-group split (under 30 / 30-50 / over 50) is unanswerable for every employee category. 405-1-a is still not answered: STARS PA-3 records which constituencies are represented on the highest decision-making body, never what percentage of that body they make up. DATA QUALITY: TU Dublin's value is the string '0 Revised on Nov. 24, 2025' — annotation text concatenated onto the figure — so the field is typed `text`, not `number`, and will not parse. Cork and Berkeley are clean.",amend,"REFRAMED 2026-08-22 from 405-1-a to 405-1-b, same reasoning as the PA-8 executive row. Stays `partial`, but now for the right reason: an index is not a percentage breakdown.",claude,2026-08-20
PA-8,Percentage of executive staff that identify as women or other marginalized gender identities,GRI 405,405-1,component,high,confirmed,GRI 405-1-b requires the percentage of employees per employee category by gender. Executive staff is an employee category and this is that percentage for it.,"STARS reports one combined figure for 'women or other marginalized gender identities' rather than a percentage per gender, so the split GRI asks for is two buckets, not three. No STARS credit collects employee age at all, so GRI 405-1's age-group split (under 30 / 30-50 / over 50) is unanswerable for every employee category. 405-1-a is still not answered: STARS PA-3 records which constituencies are represented on the highest decision-making body, never what percentage of that body they make up.",amend,"REFRAMED 2026-08-22. Was `partial` against 405-1-a with the caveat 'executive staff is not GRI governance bodies'. That objection is sound for 405-1-a and irrelevant to 405-1-b, which is the half this field actually answers. The old caveat also blamed STARS for reporting students — true of the student row, which stays unmapped, and nothing to do with this one.",claude,2026-08-20
,,GRI 305,305-6,gap_gri_side,high,confirmed,GRI requires emissions of ozone-depleting substances.,STARS 3.0 collects no ODS data at any credit. Cannot be reported from this dataset.,agree,Gap confirmed against the requirement text: STARS 3.0 collects none of this at any credit.,claude,2026-08-18
,,GRI 305,305-7,gap_gri_side,high,confirmed,"GRI requires NOx, SOx and other significant air emissions.",STARS 3.0 collects no criteria-air-pollutant data. Cannot be reported from this dataset.,agree,Gap confirmed against the requirement text: STARS 3.0 collects none of this at any credit.,claude,2026-08-18
,,GRI 403,403-9,gap_gri_side,high,confirmed,GRI requires work-related injury rates and counts.,"PA-11 (Health, Safety and Wellbeing) contains no injury figures - its only numeric fields are STARS scoring artefacts. Cannot be reported.",agree,Gap confirmed against the requirement text: STARS 3.0 collects none of this at any credit.,claude,2026-08-18
,,GRI 403,403-10,gap_gri_side,high,confirmed,GRI requires work-related ill health data.,PA-11 contains no ill-health figures. Cannot be reported.,agree,Gap confirmed against the requirement text: STARS 3.0 collects none of this at any credit.,claude,2026-08-18
,,GRI 401,401-1,gap_gri_side,high,confirmed,GRI requires new employee hires and turnover.,STARS 3.0 collects no hiring or turnover figures.,agree,Gap confirmed against the requirement text: STARS 3.0 collects none of this at any credit.,claude,2026-08-18
,,GRI 405,405-2,gap_gri_side,high,confirmed,GRI requires the ratio of basic salary and remuneration of women to men.,"STARS FIELDS: nothing. PA-13 covers living-wage coverage and wage floors, not a gender pay ratio — despite the credit being named 'Pay Equity'. BUT the evidence documents linked from STARS answers partially close this: UCC publishes V3EDIGenderPayGapReport2025.pdf and TU Dublin Gender-Pay-Gap-Report-2023-FINALv1.pdf, both stating a mean gender pay gap. Berkeley links no equivalent. NOT a substitute for 405-2: GRI wants the ratio of basic salary and remuneration of women to men PER EMPLOYEE CATEGORY and per significant location; these reports give one organisation-wide percentage. Reportable as context with the source named, for 2 of 3 institutions, and it must be read out of the PDF by a human — it is not in any structured field, so it cannot go through the Jinja2 number path.",agree,"AMENDED after the document layer was added. My original note said this 'cannot be reported' — true of the STARS fields, but the linked evidence documents were not yet extracted when I wrote it. Two of the three universities publish a gender pay gap report. Still a gap against what GRI actually asks for, and still nothing for Berkeley.",claude,2026-08-18
,,GRI 202,202-2,gap_gri_side,medium,confirmed,GRI asks for the proportion of senior management hired locally.,No STARS credit collects this.,agree,Gap confirmed against the requirement text: STARS 3.0 collects none of this at any credit.,claude,2026-08-18
IL-62,The factor by which the compensation of the highest compensated senior administrator exceeds that of the lowest compensated full-time employee,GRI 2,2-21,partial,medium,confirmed,"GRI 2-21 asks for the annual total compensation ratio. STARS IL-62 Pay Scale Equity reports a pay-dispersion ratio for the same organisation, computed on a different pair of salaries.","The denominator differs and the difference is large. GRI 2-21 divides the highest-paid individual by the MEDIAN of all other employees; STARS divides the highest-paid senior administrator by the LOWEST-paid full-time employee. The STARS figure is therefore a top-to-bottom spread, not a top-to-typical ratio, and is not comparable with any GRI 2-21 figure published elsewhere. IL-62 is also an Innovation & Leadership bonus credit, so it is optional: only TU Dublin reports it (8.08); Berkeley and Cork leave it blank.",amend,"CORRECTION to the 2026-08-18 review of this row, which recorded it as a blank gap and asserted that STARS 3.0 collects nothing of the kind at any credit. That was wrong: the second mapping pass found IL-62. Repointed from gap_gri_side to partial so the figure that does exist is reported with its definition stated, rather than the disclosure being shown as unanswerable.",claude,2026-08-20
AC-1,*,,,gap_stars_side,high,confirmed,STARS AC-1 counts sustainability course offerings.,"GRI has no disclosure for teaching. This is a higher-education-specific impact with no corporate analogue - a finding, not a defect.",agree,"Confirmed: no GRI disclosure covers teaching, research output, or educating students as stakeholders.",claude,2026-08-18
AC-6,*,,,gap_stars_side,high,confirmed,STARS AC-6 counts sustainability research activity.,GRI has no disclosure for research output. No corporate analogue.,agree,"Confirmed: no GRI disclosure covers teaching, research output, or educating students as stakeholders.",claude,2026-08-18
EN-1,*,,,gap_stars_side,medium,confirmed,STARS EN-1 covers sustainability outreach and communications to the campus community.,"Partially adjacent to GRI 2-29 stakeholder engagement, but GRI frames stakeholders as external parties affected by impacts, not students being educated. Left unmapped pending review.",agree,"Confirmed: no GRI disclosure covers teaching, research output, or educating students as stakeholders.",claude,2026-08-18
OP-5,Renewable stationary fuels,GRI 302,302-1,component,high,confirmed,"The precise match for GRI 302-1-b 'Total fuel consumption from renewable sources' - fuel only, excluding electricity.","Correct but near-empty: 0.21 MWh for TU Dublin, 0 for Cork and Berkeley. A finding in itself - these universities' renewable energy is almost entirely purchased electricity, not renewable fuel. GRI 302-1-b is therefore honestly reportable as ~zero.",agree,"Added during review: line 24's field was too broad for GRI's renewable-fuel line, and this is the field that actually matches it.",claude,2026-08-18
PRE-3,Institutional control,GRI 2,2-1,component,medium,confirmed,"GRI 2-1-b requires the nature of ownership and legal form. STARS 'Institutional control' reports whether the institution is public or private, which is that answer for the higher-education sector.","GRI 2-1 also requires the legal name, the location of headquarters and the countries of operation. STARS carries none of these as fields — they are report metadata, not credit data.",agree,,claude,2026-08-20
PRE-3,Narrative outlining the institutional boundary used to complete this report,GRI 2,2-2,component,high,confirmed,"GRI 2-2-a requires the entities included in the sustainability reporting. This STARS field is a written statement of exactly that: which campuses, sites and controlled entities the submission covers.",GRI 2-2-b/c additionally ask whether the reporting entities differ from those in the financial statements and how minority interests are consolidated. STARS asks neither.,agree,,claude,2026-08-20
PRE-3,Which of the following features are included within the institutional boundary?,GRI 2,2-6,partial,medium,confirmed,"GRI 2-6-b asks the organization to describe its activities. STARS lists the campus features inside the boundary (agricultural school, medical centre, farm, hospital…), which is a partial description of what the institution actually operates.","GRI 2-6 asks for the sectors the organization is active in, its value chain, its products and services and the markets served. A list of campus features covers only the activities, and only those with a physical footprint.",agree,,claude,2026-08-20
,,GRI 2,2-4,gap_gri_side,high,confirmed,GRI 2-4 requires restatements of information from earlier periods and the reason for them. STARS submissions are independent snapshots; the report carries no restatement field and no link to the previous submission's figures.,"STARS v2.2 and earlier scored Operations credits against the institution's own baseline and v3.0 scores against a peer group, so cross-version figures are not comparable in the first place — see CLAUDE.md 6.4.",agree,,claude,2026-08-20
PRE-4,Were any independent audits or external assurance processes used in the preparation of this report?,GRI 2,2-5,component,high,confirmed,"GRI 2-5-b turns on whether the sustainability reporting has been externally assured. This STARS field is that yes/no, asked of the same body of reported information.","GRI 2-5 additionally requires the assurance standard used, the level of assurance obtained, the limitations of the process and the relationship with the assurance provider. STARS captures none of these; the free-text field is optional and unstructured.",agree,,claude,2026-08-20
PRE-4,Narrative outlining the independent audits or external assurance processes used in the preparation of this report,GRI 2,2-5,component,medium,confirmed,"Where assurance was used, this field describes what was assured and by whom — GRI 2-5-b-ii and 2-5-b-iii in free text.","Only populated where the institution answered yes to the assurance question, so it is absent for most submissions.",agree,,claude,2026-08-20
PRE-3,Full-time equivalent of employees,GRI 2,2-7,partial,medium,confirmed,"GRI 2-7 asks for the total number of employees. STARS reports a full-time-equivalent employee count, which is the same population measured a different way.","FTE is not a headcount: two half-time staff count as one. GRI 2-7 further requires the breakdown by employment contract (permanent / temporary), by employment type (full- / part-time), by gender and by region. STARS collects a single undifferentiated figure.",agree,,claude,2026-08-20
,,GRI 2,2-8,gap_gri_side,high,confirmed,"GRI 2-8 requires the number of workers who are not employees but whose work is controlled by the organization, and their contractual relationship. STARS counts employees and students only. PA-13 counts 'significant contractors' (45 at TU Dublin, 240 at Berkeley) but that is a count of contracting firms, not of the people working under them.",,agree,,claude,2026-08-20
PA-3,Are one or more academic staff representatives included as members of the institution’s highest decision-making body?,GRI 2,2-9,component,high,confirmed,"GRI 2-9-c-v requires the composition of the highest governance body to state the representation of stakeholders. STARS asks this of the same body — 'the institution's highest decision-making body' — for academic staff, and all three institutions answer it.","GRI 2-9 also requires the number of executive and non-executive members, their independence, tenure, other significant positions held, and composition by gender and under-represented social group. STARS records only whether each constituency is represented.",agree,,claude,2026-08-20
PA-3,Are one or more staff members representing non-managerial workers included as members of the institution’s highest decision-making body?,GRI 2,2-9,component,high,confirmed,"GRI 2-9-c-v, for non-managerial workers on the highest governance body. This is the constituency GRI most often finds unrepresented, and STARS asks about it directly.","See the caveat on the academic-staff row: representation is recorded, composition is not.",agree,,claude,2026-08-20
PA-3,Are one or more student representatives included as members of the institution’s highest decision-making body?,GRI 2,2-9,component,high,confirmed,"GRI 2-9-c-v, for students. Students have no corporate analogue, but they are unambiguously a stakeholder group represented on the governance body, which is what the disclosure asks for.",See the caveat on the academic-staff row.,agree,,claude,2026-08-20
PA-3,Narrative and/or website URL outlining academic staff representation on the institution’s highest decision-making body,GRI 2,2-9,component,medium,confirmed,The narrative names the highest decision-making body and describes how it is composed — GRI 2-9-a (governance structure) in prose rather than as a structured field.,Free text of variable depth; it is not a substitute for the numeric composition GRI 2-9-c requires.,agree,,claude,2026-08-20
,,GRI 2,2-10,gap_gri_side,high,confirmed,"GRI 2-10 requires the criteria and processes for nominating and selecting members of the highest governance body. STARS PA-3 records whether constituencies are represented and whether they hold voting rights, but nothing about how any member is nominated, selected or removed.",,agree,,claude,2026-08-20
