credit_code,category,question,answer
AC-4,AC,Overall Rating,Platinum
AC-4,AC,Overall Score,85.99
AC-4,AC,Submission Date,"March 5, 2026"
AC-5,AC,Overall Rating,Platinum
AC-5,AC,Overall Score,85.99
AC-5,AC,Submission Date,"March 5, 2026"
AC-6,AC,Overall Rating,Platinum
AC-6,AC,Overall Score,85.99
AC-6,AC,Submission Date,"March 5, 2026"
AC-7,AC,Overall Rating,Platinum
AC-7,AC,Overall Score,85.99
AC-7,AC,Submission Date,"March 5, 2026"
AC-8,AC,Overall Rating,Platinum
AC-8,AC,Overall Score,85.99
AC-8,AC,Submission Date,"March 5, 2026"
EN-1,EN,Overall Rating,Platinum
EN-1,EN,Overall Score,85.99
EN-1,EN,Submission Date,"March 5, 2026"
EN-2,EN,Overall Rating,Platinum
EN-2,EN,Overall Score,85.99
EN-2,EN,Submission Date,"March 5, 2026"
EN-3,EN,Overall Rating,Platinum
EN-3,EN,Overall Score,85.99
EN-3,EN,Submission Date,"March 5, 2026"
EN-4,EN,Overall Rating,Platinum
EN-4,EN,Overall Score,85.99
EN-4,EN,Submission Date,"March 5, 2026"
EN-5,EN,Overall Rating,Platinum
EN-5,EN,Overall Score,85.99
EN-5,EN,Submission Date,"March 5, 2026"
EN-6,EN,Overall Rating,Platinum
EN-6,EN,Overall Score,85.99
EN-6,EN,Submission Date,"March 5, 2026"
EN-7,EN,Overall Rating,Platinum
EN-7,EN,Overall Score,85.99
EN-7,EN,Submission Date,"March 5, 2026"
EN-8,EN,Overall Rating,Platinum
EN-8,EN,Overall Score,85.99
EN-8,EN,Submission Date,"March 5, 2026"
EN-9,EN,Overall Rating,Platinum
EN-9,EN,Overall Score,85.99
EN-9,EN,Submission Date,"March 5, 2026"
OP-1,OP,Overall Rating,Platinum
OP-1,OP,Overall Score,85.99
OP-1,OP,Submission Date,"March 5, 2026"
OP-2,OP,Overall Rating,Platinum
OP-2,OP,Overall Score,85.99
OP-2,OP,Submission Date,"March 5, 2026"
OP-3,OP,Overall Rating,Platinum
OP-3,OP,Overall Score,85.99
OP-3,OP,Submission Date,"March 5, 2026"
OP-4,OP,Overall Rating,Platinum
OP-4,OP,Overall Score,85.99
OP-4,OP,Submission Date,"March 5, 2026"
OP-5,OP,Overall Rating,Platinum
OP-5,OP,Overall Score,85.99
OP-5,OP,Submission Date,"March 5, 2026"
OP-6,OP,Overall Rating,Platinum
OP-6,OP,Overall Score,85.99
OP-6,OP,Submission Date,"March 5, 2026"
OP-7,OP,Overall Rating,Platinum
OP-7,OP,Overall Score,85.99
OP-7,OP,Submission Date,"March 5, 2026"
OP-8,OP,Overall Rating,Platinum
OP-8,OP,Overall Score,85.99
OP-8,OP,Submission Date,"March 5, 2026"
OP-9,OP,Overall Rating,Platinum
OP-9,OP,Overall Score,85.99
OP-9,OP,Submission Date,"March 5, 2026"
OP-10,OP,Overall Rating,Platinum
OP-10,OP,Overall Score,85.99
OP-10,OP,Submission Date,"March 5, 2026"
OP-10,OP,CS12 8591 SCOTT MINI TWIN T/TISSUE C/FEED ROL (M05625),"made from 100% recycled fibres, is FSC certified, carries the European Ecolabel"
OP-10,OP,120238 TORK MINI JUMBO WH 2PLY 170M 12X1 (M00673),"FSC certified, carries the European Ecolabel"
OP-10,OP,CS 6 PRST BLU C-FEED 2PLY ROLL MX 120MX165M (M05329),100% recycled fibres and is FSC Certified
OP-10,OP,CS 6 BLU C-FEED ROLL 2PLY TORK (030502),"FSC certified, carries the European Ecolabel"
OP-10,OP,290016 TORK PREM H/T 2PLY WH 100X21CM408 (M01209),"FSC certified, carries the European Ecolabel"
OP-10,OP,CS 21X180 T/ XPRESS M/FOLD H/T 2P WH 1X21 (M05470),"FSC certified, carries the European Ecolabel"
OP-10,OP,6340 SCOTT ESSENTIAL FOAM SOAP 6X1 (N06140),EU Ecolabel Certified
OP-10,OP,CS LUX PINK PEARL - PEACH FRAG SOAP 2X5LT (N05388),"Move to Deb foam soap. EU Ecolabel Certified. Perfume-free and dye-free, biodegradable skin hypoallergenic foam hand"
OP-10,OP,420911 TORK LUXURY LIQUID SOAP 6X1L (N09904),EU Ecolabel Certified
OP-10,OP,420501 TORK 55 MILD LIQUID SOAP WH 6X1L (N01185),EU Ecolabel Certified
OP-10,OP,RVU11529 LOTION W/MOISTURISER 4X1100ML (N08102),EU Ecolabel Certified
OP-10,OP,PK 20 C/LINE ECO TOILET CLEANER SACHETS T10 (Y09726),"ISO 9001 Quality Management System: The product is manufactured under this system, ensuring quality and consistency."
OP-10,OP,PK 20 C/LINE ECO M-PURPOSE CLEANER SACHET T1 (Y09727),"ISO 14001 Environmental Management System: The manufacturing process is accredited with this environmental standard, indicating a commitment to reducing environmental impact."
OP-10,OP,PK 20 C/LINE ECO WASHROOM CLEANER SACHET T9 (Y09730),"REACH compliance: All surfactants and raw materials used in Cleanline products comply with current European regulations concerning the Registration, Evaluation, Authorisation and Restriction of Chemicals (REACH) and biodegradability requirements."
OP-11,OP,Overall Rating,Platinum
OP-11,OP,Overall Score,85.99
OP-11,OP,Submission Date,"March 5, 2026"
OP-12,OP,Overall Rating,Platinum
OP-12,OP,Overall Score,85.99
OP-12,OP,Submission Date,"March 5, 2026"
OP-13,OP,Overall Rating,Platinum
OP-13,OP,Overall Score,85.99
OP-13,OP,Submission Date,"March 5, 2026"
OP-14,OP,Overall Rating,Platinum
OP-14,OP,Overall Score,85.99
OP-14,OP,Submission Date,"March 5, 2026"
OP-15,OP,Overall Rating,Platinum
OP-15,OP,Overall Score,85.99
OP-15,OP,Submission Date,"March 5, 2026"
PA-1,PA,Overall Rating,Platinum
PA-1,PA,Overall Score,85.99
PA-1,PA,Submission Date,"March 5, 2026"
PA-2,PA,Overall Rating,Platinum
PA-2,PA,Overall Score,85.99
PA-2,PA,Submission Date,"March 5, 2026"
PA-3,PA,Overall Rating,Platinum
PA-3,PA,Overall Score,85.99
PA-3,PA,Submission Date,"March 5, 2026"
PA-4,PA,Overall Rating,Platinum
PA-4,PA,Overall Score,85.99
PA-4,PA,Submission Date,"March 5, 2026"
PA-5,PA,Overall Rating,Platinum
PA-5,PA,Overall Score,85.99
PA-5,PA,Submission Date,"March 5, 2026"
PA-6,PA,Overall Rating,Platinum
PA-6,PA,Overall Score,85.99
PA-6,PA,Submission Date,"March 5, 2026"
PA-7,PA,Overall Rating,Platinum
PA-7,PA,Overall Score,85.99
PA-7,PA,Submission Date,"March 5, 2026"
PA-8,PA,Overall Rating,Platinum
PA-8,PA,Overall Score,85.99
PA-8,PA,Submission Date,"March 5, 2026"
PA-9,PA,Overall Rating,Platinum
PA-9,PA,Overall Score,85.99
PA-9,PA,Submission Date,"March 5, 2026"
PA-10,PA,Overall Rating,Platinum
PA-10,PA,Overall Score,85.99
PA-10,PA,Submission Date,"March 5, 2026"
PA-11,PA,Overall Rating,Platinum
PA-11,PA,Overall Score,85.99
PA-11,PA,Submission Date,"March 5, 2026"
PA-12,PA,Overall Rating,Platinum
PA-12,PA,Overall Score,85.99
PA-12,PA,Submission Date,"March 5, 2026"
PA-13,PA,Overall Rating,Platinum
PA-13,PA,Overall Score,85.99
PA-13,PA,Submission Date,"March 5, 2026"
IL-1,IL,Overall Rating,Platinum
IL-1,IL,Overall Score,85.99
IL-1,IL,Submission Date,"March 5, 2026"
IL-2,IL,Overall Rating,Platinum
IL-2,IL,Overall Score,85.99
IL-2,IL,Submission Date,"March 5, 2026"
IL-3,IL,Overall Rating,Platinum
IL-3,IL,Overall Score,85.99
IL-3,IL,Submission Date,"March 5, 2026"
IL-4,IL,Overall Rating,Platinum
IL-4,IL,Overall Score,85.99
IL-4,IL,Submission Date,"March 5, 2026"
IL-5,IL,Overall Rating,Platinum
IL-5,IL,Overall Score,85.99
IL-5,IL,Submission Date,"March 5, 2026"
IL-6,IL,Overall Rating,Platinum
IL-6,IL,Overall Score,85.99
IL-6,IL,Submission Date,"March 5, 2026"
IL-7,IL,Overall Rating,Platinum
IL-7,IL,Overall Score,85.99
IL-7,IL,Submission Date,"March 5, 2026"
IL-8,IL,Overall Rating,Platinum
IL-8,IL,Overall Score,85.99
IL-8,IL,Submission Date,"March 5, 2026"
IL-9,IL,Overall Rating,Platinum
IL-9,IL,Overall Score,85.99
IL-9,IL,Submission Date,"March 5, 2026"
IL-10,IL,Overall Rating,Platinum
IL-10,IL,Overall Score,85.99
IL-10,IL,Submission Date,"March 5, 2026"
IL-11,IL,Overall Rating,Platinum
IL-11,IL,Overall Score,85.99
IL-11,IL,Submission Date,"March 5, 2026"
IL-12,IL,Overall Rating,Platinum
IL-12,IL,Overall Score,85.99
IL-12,IL,Submission Date,"March 5, 2026"
IL-13,IL,Overall Rating,Platinum
IL-13,IL,Overall Score,85.99
IL-13,IL,Submission Date,"March 5, 2026"
IL-14,IL,Overall Rating,Platinum
IL-14,IL,Overall Score,85.99
IL-14,IL,Submission Date,"March 5, 2026"
IL-15,IL,Overall Rating,Platinum
IL-15,IL,Overall Score,85.99
IL-15,IL,Submission Date,"March 5, 2026"
IL-16,IL,Overall Rating,Platinum
IL-16,IL,Overall Score,85.99
IL-16,IL,Submission Date,"March 5, 2026"
IL-17,IL,Overall Rating,Platinum
IL-17,IL,Overall Score,85.99
IL-17,IL,Submission Date,"March 5, 2026"
IL-18,IL,Overall Rating,Platinum
IL-18,IL,Overall Score,85.99
IL-18,IL,Submission Date,"March 5, 2026"
IL-19,IL,Overall Rating,Platinum
IL-19,IL,Overall Score,85.99
IL-19,IL,Submission Date,"March 5, 2026"
IL-20,IL,Overall Rating,Platinum
IL-20,IL,Overall Score,85.99
IL-20,IL,Submission Date,"March 5, 2026"
IL-21,IL,Overall Rating,Platinum
IL-21,IL,Overall Score,85.99
IL-21,IL,Submission Date,"March 5, 2026"
IL-22,IL,Overall Rating,Platinum
IL-22,IL,Overall Score,85.99
IL-22,IL,Submission Date,"March 5, 2026"
IL-23,IL,Overall Rating,Platinum
IL-23,IL,Overall Score,85.99
IL-23,IL,Submission Date,"March 5, 2026"
IL-24,IL,Overall Rating,Platinum
IL-24,IL,Overall Score,85.99
IL-24,IL,Submission Date,"March 5, 2026"
IL-25,IL,Overall Rating,Platinum
IL-25,IL,Overall Score,85.99
IL-25,IL,Submission Date,"March 5, 2026"
IL-26,IL,Overall Rating,Platinum
IL-26,IL,Overall Score,85.99
IL-26,IL,Submission Date,"March 5, 2026"
IL-27,IL,Overall Rating,Platinum
IL-27,IL,Overall Score,85.99
IL-27,IL,Submission Date,"March 5, 2026"
IL-28,IL,Overall Rating,Platinum
IL-28,IL,Overall Score,85.99
IL-28,IL,Submission Date,"March 5, 2026"
IL-29,IL,Overall Rating,Platinum
IL-29,IL,Overall Score,85.99
IL-29,IL,Submission Date,"March 5, 2026"
IL-30,IL,Overall Rating,Platinum
IL-30,IL,Overall Score,85.99
IL-30,IL,Submission Date,"March 5, 2026"
IL-31,IL,Overall Rating,Platinum
IL-31,IL,Overall Score,85.99
IL-31,IL,Submission Date,"March 5, 2026"
IL-32,IL,Overall Rating,Platinum
IL-32,IL,Overall Score,85.99
IL-32,IL,Submission Date,"March 5, 2026"
IL-33,IL,Overall Rating,Platinum
IL-33,IL,Overall Score,85.99
IL-33,IL,Submission Date,"March 5, 2026"
IL-34,IL,Overall Rating,Platinum
IL-34,IL,Overall Score,85.99
IL-34,IL,Submission Date,"March 5, 2026"
IL-35,IL,Overall Rating,Platinum
IL-35,IL,Overall Score,85.99
IL-35,IL,Submission Date,"March 5, 2026"
IL-36,IL,Overall Rating,Platinum
IL-36,IL,Overall Score,85.99
IL-36,IL,Submission Date,"March 5, 2026"
IL-37,IL,Overall Rating,Platinum
IL-37,IL,Overall Score,85.99
IL-37,IL,Submission Date,"March 5, 2026"
IL-38,IL,Overall Rating,Platinum
IL-38,IL,Overall Score,85.99
IL-38,IL,Submission Date,"March 5, 2026"
IL-39,IL,Overall Rating,Platinum
IL-39,IL,Overall Score,85.99
IL-39,IL,Submission Date,"March 5, 2026"
IL-40,IL,Overall Rating,Platinum
IL-40,IL,Overall Score,85.99
IL-40,IL,Submission Date,"March 5, 2026"
IL-41,IL,Overall Rating,Platinum
IL-41,IL,Overall Score,85.99
IL-41,IL,Submission Date,"March 5, 2026"
IL-42,IL,Overall Rating,Platinum
IL-42,IL,Overall Score,85.99
IL-42,IL,Submission Date,"March 5, 2026"
IL-43,IL,Overall Rating,Platinum
IL-43,IL,Overall Score,85.99
IL-43,IL,Submission Date,"March 5, 2026"
IL-44,IL,Overall Rating,Platinum
IL-44,IL,Overall Score,85.99
IL-44,IL,Submission Date,"March 5, 2026"
IL-45,IL,Overall Rating,Platinum
IL-45,IL,Overall Score,85.99
IL-45,IL,Submission Date,"March 5, 2026"
IL-46,IL,Overall Rating,Platinum
IL-46,IL,Overall Score,85.99
IL-46,IL,Submission Date,"March 5, 2026"
IL-47,IL,Overall Rating,Platinum
IL-47,IL,Overall Score,85.99
IL-47,IL,Submission Date,"March 5, 2026"
IL-48,IL,Overall Rating,Platinum
IL-48,IL,Overall Score,85.99
IL-48,IL,Submission Date,"March 5, 2026"
IL-49,IL,Overall Rating,Platinum
IL-49,IL,Overall Score,85.99
IL-49,IL,Submission Date,"March 5, 2026"
IL-50,IL,Overall Rating,Platinum
IL-50,IL,Overall Score,85.99
IL-50,IL,Submission Date,"March 5, 2026"
IL-51,IL,Overall Rating,Platinum
IL-51,IL,Overall Score,85.99
IL-51,IL,Submission Date,"March 5, 2026"
IL-52,IL,Overall Rating,Platinum
IL-52,IL,Overall Score,85.99
IL-52,IL,Submission Date,"March 5, 2026"
IL-53,IL,Overall Rating,Platinum
IL-53,IL,Overall Score,85.99
IL-53,IL,Submission Date,"March 5, 2026"
IL-54,IL,Overall Rating,Platinum
IL-54,IL,Overall Score,85.99
IL-54,IL,Submission Date,"March 5, 2026"
IL-55,IL,Overall Rating,Platinum
IL-55,IL,Overall Score,85.99
IL-55,IL,Submission Date,"March 5, 2026"
IL-56,IL,Overall Rating,Platinum
IL-56,IL,Overall Score,85.99
IL-56,IL,Submission Date,"March 5, 2026"
IL-57,IL,Overall Rating,Platinum
IL-57,IL,Overall Score,85.99
IL-57,IL,Submission Date,"March 5, 2026"
IL-58,IL,Overall Rating,Platinum
IL-58,IL,Overall Score,85.99
IL-58,IL,Submission Date,"March 5, 2026"
IL-59,IL,Overall Rating,Platinum
IL-59,IL,Overall Score,85.99
IL-59,IL,Submission Date,"March 5, 2026"
IL-60,IL,Overall Rating,Platinum
IL-60,IL,Overall Score,85.99
IL-60,IL,Submission Date,"March 5, 2026"
IL-61,IL,Overall Rating,Platinum
IL-61,IL,Overall Score,85.99
IL-61,IL,Submission Date,"March 5, 2026"
IL-62,IL,Overall Rating,Platinum
IL-62,IL,Overall Score,85.99
IL-62,IL,Submission Date,"March 5, 2026"
IL-63,IL,Overall Rating,Platinum
IL-63,IL,Overall Score,85.99
IL-63,IL,Submission Date,"March 5, 2026"
IL-64,IL,Overall Rating,Platinum
IL-64,IL,Overall Score,85.99
IL-64,IL,Submission Date,"March 5, 2026"
IL-65,IL,Overall Rating,Platinum
IL-65,IL,Overall Score,85.99
IL-65,IL,Submission Date,"March 5, 2026"
IL-66,IL,Overall Rating,Platinum
IL-66,IL,Overall Score,85.99
IL-66,IL,Submission Date,"March 5, 2026"
IL-67,IL,Overall Rating,Platinum
IL-67,IL,Overall Score,85.99
IL-67,IL,Submission Date,"March 5, 2026"
IL-68,IL,Overall Rating,Platinum
IL-68,IL,Overall Score,85.99
IL-68,IL,Submission Date,"March 5, 2026"
IL-69,IL,Overall Rating,Platinum
IL-69,IL,Overall Score,85.99
IL-69,IL,Submission Date,"March 5, 2026"
