credit_code,category,question,answer
IL-54,IL,Submission Date,"Feb. 19, 2025"
IL-55,IL,Overall Rating,Platinum
IL-55,IL,Overall Score,86.76
IL-55,IL,Submission Date,"Feb. 19, 2025"
IL-56,IL,Overall Rating,Platinum
IL-56,IL,Overall Score,86.76
IL-56,IL,Submission Date,"Feb. 19, 2025"
IL-57,IL,Overall Rating,Platinum
IL-57,IL,Overall Score,86.76
IL-57,IL,Submission Date,"Feb. 19, 2025"
IL-58,IL,Overall Rating,Platinum
IL-58,IL,Overall Score,86.76
IL-58,IL,Submission Date,"Feb. 19, 2025"
IL-59,IL,Overall Rating,Platinum
IL-59,IL,Overall Score,86.76
IL-59,IL,Submission Date,"Feb. 19, 2025"
IL-60,IL,Overall Rating,Platinum
IL-60,IL,Overall Score,86.76
IL-60,IL,Submission Date,"Feb. 19, 2025"
IL-61,IL,Overall Rating,Platinum
IL-61,IL,Overall Score,86.76
IL-61,IL,Submission Date,"Feb. 19, 2025"
IL-62,IL,Overall Rating,Platinum
IL-62,IL,Overall Score,86.76
IL-62,IL,Submission Date,"Feb. 19, 2025"
IL-63,IL,Overall Rating,Platinum
IL-63,IL,Overall Score,86.76
IL-63,IL,Submission Date,"Feb. 19, 2025"
IL-64,IL,Overall Rating,Platinum
IL-64,IL,Overall Score,86.76
IL-64,IL,Submission Date,"Feb. 19, 2025"
IL-65,IL,Overall Rating,Platinum
IL-65,IL,Overall Score,86.76
IL-65,IL,Submission Date,"Feb. 19, 2025"
IL-66,IL,Overall Rating,Platinum
IL-66,IL,Overall Score,86.76
IL-66,IL,Submission Date,"Feb. 19, 2025"
IL-67,IL,Overall Rating,Platinum
IL-67,IL,Overall Score,86.76
IL-67,IL,Submission Date,"Feb. 19, 2025"
IL-68,IL,Overall Rating,Platinum
IL-68,IL,Overall Score,86.76
IL-68,IL,Submission Date,"Feb. 19, 2025"
IL-69,IL,Overall Rating,Platinum
IL-69,IL,Overall Score,86.76
IL-69,IL,Submission Date,"Feb. 19, 2025"
